studioExcelId,order,studioThumbnailOrder,fileName,s3Key,url
HD-01,1,1,HD-01_personal_portrait.jpg,studio/HD-01_personal_portrait.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-01_personal_portrait.jpg
HD-01,2,,HD-01_id_photo.jpg,studio/HD-01_id_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-01_id_photo.jpg
HD-02,1,1,HD-02_personal_portrait.jpg,studio/HD-02_personal_portrait.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-02_personal_portrait.jpg
HD-02,2,,HD-02_job_photo.jpg,studio/HD-02_job_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-02_job_photo.jpg
HD-02,3,,HD-02_family_photo.jpg,studio/HD-02_family_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-02_family_photo.jpg
HD-03,1,1,HD-03_friendship_photo.jpg,studio/HD-03_friendship_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-03_friendship_photo.jpg
HD-03,2,,HD-03_personal_portrait.jpg,studio/HD-03_personal_portrait.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-03_personal_portrait.jpg
HD-03,3,,HD-03_family_photo.jpg,studio/HD-03_family_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-03_family_photo.jpg
HD-06,1,1,HD-06_personal_portrait_1.jpg,studio/HD-06_personal_portrait_1.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-06_personal_portrait_1.jpg
HD-06,2,,HD-06_personal_portrait_2.jpg,studio/HD-06_personal_portrait_2.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-06_personal_portrait_2.jpg
HD-06,3,,HD-06_id_photo.jpg,studio/HD-06_id_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-06_id_photo.jpg
HD-06,4,,HD-06_profile_photo.jpg,studio/HD-06_profile_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-06_profile_photo.jpg
HD-10,1,1,HD-10_personal_portrait_1.jpg,studio/HD-10_personal_portrait_1.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-10_personal_portrait_1.jpg
HD-10,2,,HD-10_personal_portrait_2.jpg,studio/HD-10_personal_portrait_2.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-10_personal_portrait_2.jpg
HD-10,3,,HD-10_personal_portrait_3.jpg,studio/HD-10_personal_portrait_3.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-10_personal_portrait_3.jpg
HD-10,4,,HD-10_id_photo.jpg,studio/HD-10_id_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-10_id_photo.jpg
HD-10,5,,HD-10_profile_photo.jpg,studio/HD-10_profile_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/HD-10_profile_photo.jpg
GN-06,1,1,GN-06_id_photo.jpg,studio/GN-06_id_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-06_id_photo.jpg
GN-06,2,,GN-06_job_photo.jpg,studio/GN-06_job_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-06_job_photo.jpg
GN-06,3,,GN-06_profile_photo.jpg,studio/GN-06_profile_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-06_profile_photo.jpg
GN-06,4,,GN-06_friendship_photo.jpg,studio/GN-06_friendship_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-06_friendship_photo.jpg
GN-01,1,1,GN-01_family_photo_1.jpg,studio/GN-01_family_photo_1.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-01_family_photo_1.jpg
GN-01,2,,GN-01_family_photo_2.jpg,studio/GN-01_family_photo_2.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-01_family_photo_2.jpg
GN-01,3,,GN-01_family_photo_3.jpg,studio/GN-01_family_photo_3.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-01_family_photo_3.jpg
GN-04,1,1,GN-04_id_photo.jpg,studio/GN-04_id_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-04_id_photo.jpg
GN-04,2,,GN-04_job_photo.jpg,studio/GN-04_job_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-04_job_photo.jpg
GN-04,3,,GN-04_profile_photo_1.jpg,studio/GN-04_profile_photo_1.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-04_profile_photo_1.jpg
GN-04,4,,GN-04_profile_photo_2.jpg,studio/GN-04_profile_photo_2.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-04_profile_photo_2.jpg
GN-04,5,,GN-04_profile_photo_3.jpg,studio/GN-04_profile_photo_3.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-04_profile_photo_3.jpg
GN-03,1,1,GN-03_personal_portrait.jpg,studio/GN-03_personal_portrait.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-03_personal_portrait.jpg
GN-03,2,,GN-03_id_photo.jpg,studio/GN-03_id_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-03_id_photo.jpg
GN-03,3,,GN-03_profile_photo.jpg,studio/GN-03_profile_photo.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-03_profile_photo.jpg
GN-09,1,1,GN-09_personal_portrait_1.jpg,studio/GN-09_personal_portrait_1.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-09_personal_portrait_1.jpg
GN-09,2,,GN-09_personal_portrait_2.jpg,studio/GN-09_personal_portrait_2.jpg,https://picday-images-681447159066-ap-northeast-2-an.s3.ap-northeast-2.amazonaws.com/studio/GN-09_personal_portrait_2.jpg
